nome;citta;paese;anno;superficie_mq;tipologia;problema;interventi;costo_milioni;finanziamento;benefici_sociali;benefici_economici;sostenibilita;coordinate
High Line Park;New York;USA;2009;21000;parco lineare;Ferrovia abbandonata;spazi verdi, percorsi pedonali, arte pubblica;153;fondi pubblici + donazioni;incremento turismo, migliore qualità della vita;+30% valore immobili, +5M visitatori/anno;materiali riciclati, irrigazione a basso consumo;40.7128,-74.0060
Parco della Rinascita;Milano;Italia;2023;25000;parco urbano;Area dismessa inutilizzata;spazi verdi, percorsi pedonali, aree gioco;50;Fondi PNRR + privati;aumento verde pubblico, maggior sicurezza;+15% valore immobiliare, +10% attività locali;materiali riciclati, illuminazione LED;45.4642,9.1900
Riqualificazione Lungomare;Napoli;Italia;2022;30000;riqualificazione costiera;Deterioramento infrastrutturale;nuova pavimentazione, aree verdi, spazi eventi;80;Fondi PNRR + regionali;miglioramento qualità urbana, nuovi spazi ricreativi;+20% flusso turistico, +25% crescita economica;riduzione consumo energetico, uso materiali sostenibili;40.8518,14.2681
Plaza Digital;Madrid;Spagna;2021;8000;piazza smart;Spazio urbano sottoutilizzato;Wi-Fi pubblico, arredo interattivo, spazi eventi;15;fondi nazionali + tech companies;inclusione digitale, aggregazione sociale;+22% attività commerciali, +18% visitatori;energia solare, materiali riciclati;40.4168,-3.7038
Eco-Quartier;Parigi;Francia;2018;35000;quartiere sostenibile;Area industriale dismessa;edifici passivi, orti urbani, mobilità dolce;120;fondi statali + privati;comunità sostenibile, qualità abitativa;-30% consumi energetici, +20% valore immobiliare;edifici a energia quasi zero, gestione acque piovane;48.8566,2.3522
La Friche Belle de Mai;Marsiglia;Francia;2013;45000;hub culturale;Ex fabbrica tabacchi;spazi artistici, coworking, giardini comunitari;75;fondi regionali + europei;integrazione sociale, sviluppo culturale;+300 posti lavoro, +100K visitatori/anno;recupero edifici esistenti, materiali locali;43.2965,5.3698
Tempelhof Park;Berlino;Germania;2010;355000;parco urbano;Aeroporto dismesso;spazi verdi, aree sport, orti urbani;125;fondi federali + comunali;spazio ricreativo, integrazione sociale;+2M visitatori/anno, risparmio sanitario;conservazione biodiversità, mobilità sostenibile;52.5200,13.4050
HafenCity;Amburgo;Germania;2017;157000;waterfront urbano;Porto industriale obsoleto;mix residenziale-commerciale, spazi pubblici;3200;pubblico-privato;nuovi alloggi, spazi culturali;+40K posti lavoro, +15% turismo;edifici certificati sostenibili, protezione inondazioni;53.5488,9.9872
Spikeri Quarter;Riga;Lettonia;2019;18000;rigenerazione urbana;Magazzini portuali abbandonati;spazi creativi, mercati, aree eventi;40;fondi UE + privati;rivitalizzazione culturale, inclusione sociale;+25% turismo, +15% nuove imprese;recupero edifici storici, illuminazione LED;56.9496,24.1052
Baltic Tech Hub;Liepaja;Lettonia;2022;12000;centro innovazione;Caserma militare abbandonata;spazi formazione tech, incubatore startup, laboratori;25;fondi europei + università;formazione professionale, innovazione;+150 nuovi posti lavoro, +10% PIL locale;riscaldamento geotermico, materiali riciclati;56.5047,21.0108
EcoCity;Kiev;Ucraina;2020;42000;quartiere resiliente;Area post-industriale;edifici autosufficienti, spazi verdi, hub energia;110;fondi internazionali + privati;resilienza climatica, qualità abitativa;-40% costi energetici, +30% valore immobiliare;edifici passivi, sistema energetico distribuito;50.4501,30.5234
Freedom Square;Kharkiv;Ucraina;2023;25000;piazza pubblica;Spazio urbano degradato;spazi eventi, memorialistica, aree verde;65;donazioni internazionali + fondi ricostruzione;coesione sociale, memoria collettiva;+30% turismo, +20% commercio locale;illuminazione solare, materiali locali;49.9935,36.2304
Eco-District;Lviv;Ucraina;2024;30000;quartiere ecologico;Ex area militare;housing sociale, spazi comunitari, aree verdi;85;fondi ricostruzione UE + privati;alloggi sostenibili, comunità resiliente;-35% consumi energetici, +200 posti lavoro;tecnologie passive, orti urbani comunitari;49.8397,24.0297
